date,user,text,url
21/03/2020,freesia53,Bonjour. Je suis suivie pour une thyroidite d'Hasimoto après des déconvenues avec le lévothyrox NF français j'ai pris l'euthyrox belge (labo merck) depuis 2018( Je suis super bien) maintenant qu'il n'y en a plus je vais devoir bientôt prendre des comprimés de L-Thyroxine belge du labo Christiaens -takeda. J'avoue que j'angoisse car en 2017 on m'avait prescrit du L-thyroxine (labo henning).J'ai vécu un enfer:insomnies totales crises de panique douleurs dans les membres etc.. Je voudrais savoir si parmi vous il y a quelqu'un qui a pris du L-thyroxine belge (labo christiaens-tadeka) en relais de l'euthyrox ou autre.Comment vous sentiez-vous? avez-vous eut à refaire une dosage sanguin?Avez vous eut des effets indésirables? Merci de vos réponses car changer alors que je suis si bien maintenant m'angoisse au plus haut point.freesia53,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/changement-hormones-thyroidiennes-sujet_171829_1.htm
13/03/2020,NotYourMaj​esty,Bonjour à tous ! Ayant une hypotyroidie  je suis sous traitement depuis maintenant bientôt 2 ans. Je prends quotidiennement 25 microgrammes de T3 ( medicament Cytomel). Le problème est le suivant : je suis actuellement en déplacement au Maroc. J'ai perdu mes 2 boites de Cytomel ( il me reste uniquement une plaquette que je gardais dans ma veste) . Le seul produit disponible au maroc en pharmacie est le levothyrox  qui lui est à base de T4. Mon medecin en France étant en vacances ( oui je sais j'ai la poisse 😂) je ne sais absolument pas quel dose de T4 je dois prendre pour arriver à mes 25 microgrammes habituelle. Si une personne peut me renseigner je suis preneur! Merci !,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/dosage-levothyrox-sujet_171826_1.htm
13/03/2020,petitbouch​on,Bonjour Pourquoi votre médecin vous prescrit-il de la T3? Hypothyroïdie secondaire  avec une TSH à 0 et je prends 1/2 175µg/j soit 87.5µg/j pour 76kg. Le problème c'est qu'il faut constituer un stock correspondant à 8 j de prise alors que la T3 est très vite assimilée. Donc il faudra que vous constituiez le stock en prenant encore un peu de T3 (1 le premier jour  1/2 le j2   1/4 le j3  1/8 j4 ... par exemple),https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/dosage-levothyrox-sujet_171826_1.htm
13/03/2020,Susanne in F,L'equivalent de 25 T3 serait 100 T4 .  #034;Au pifomètre #034;   parce que personne ne le sait au juste . Mais meme si c'est exactement le bon dosage   ce n'est pas du tout la meme chose ! La T3 tu la sens tout de suite   et elle est vite resortie . La T4 tu commences à la sentir au bout de deux semaines   et t'as l'effet complet au bout de 6 semaines peut-etre . C'est à dire si demain ou dans quelques jours tu n'as plus de T3 et tu commences 100 T4 ..... tu tomberais dans un enorme trou   parce tu n'aurais pratiquement rien pendant deux semaines ! Je n'ai pas de medecin au Maroc sous la main . Je vais voir si je peux me renseigner pour la T3 au Maroc .... Oui   et comment ca se fait que tu as un traitement de T3 seul ?,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/dosage-levothyrox-sujet_171826_1.htm
30/09/2007,ale14za,Bonjour  ma fille agée d'un mois et demi  a une interruption de la tige pituitaire. Elle a un traitement pour les hormones thyroidiennes  de croissance et les glandes surrénales. Pourriez-vous me faire partager votre expérience si votre enfant ou vous meme a cette malformation de l'hypophyse Merci,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
01/10/2007,Profil supprimé,Bonjour ! Je n'ai pas d'enfants . Mais je souffre de débalancements thyroidien et du pancreas et bon..tout ce que cela encour . Je voulais te dire que c'est très dificile de se retrouver dans ces conditions et que même s'il parait de l'exterieur qu'un simple dosage d'hormonnes regles tout   les symptomes peuvent être aussi diverses et aussi surnois et penible . Je sais que ton petit bébé ne peut pas parler alors n'ai pas peur de te faire entendre si tu penses qu'elle n'est pas dans une zone de confort et ne se sent pas bien . Tu trouveras ici pleins de topics en ce qui a attrait à ces troubles et cela t'aidera à comprendre l'état de ta fille et à surveiller les symptomes et l'aider a bien se sentir . Je te souhaite également de trouver des témoignages d'autres mamans . Mais ce qui va aider ta ptite pitchounette   à mon avis   c'est ta compréhension de la chose . Bonne chance et courage.. Et felicitation pour ce ptit bout de vie pleins de soleil !!! Les medecins sont gerenralement plus scrupuleux avec les enfants .Elle sera surement bien soigné . Mais une maman averti en vaut deux ! JE pense qu'en allant dans recherche tu peux trouver les topics qui se referent à ton probleme : être la maman d.une enfant qui souffre de la thyroide ou de des glandes analogues . BONNE CHANCE et bonne continuation avec bébé .,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
01/10/2007,cloclo7676,Bonjour  Je ne peux t'aider que par rapport aux glandes surrénales. Ma fille  24 ans est née avec une hyperplasie congénitale des surrénales et elle ne fabrique ni cortisone  ni aldostérone ce qui fait qu'elle prend chaque jour de l'hydrocortisone et de la fludrocortisone. Si tu as des questions à ce sujet  n'hésites pas. Je t'envoie en mail privé mes coordonnées téléphoniques. Gros baisers à ta fille Cloclo,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
01/10/2007,ale14za,Merci pour ton message. Prend tu de la L-Thyroxine? Si oui existe t-il des effets indésirables  les médecins m'ont affirmé que non  si on trouve le bon dosage.,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
01/10/2007,Profil supprimé,Bonjour . Je prends du syntroide pour la glande thyroide et en ce moment je suis mal soigné   mal suivi donc si j'ai besoin d'une autre hormonne je ne sais pas . Mais je peux te dire que les disfonctionnements hypophosaires et thyroidiens agissent sur tout le corps . La tension arterielle   le fonctionnement du pancreas   ce sur quoi tu devrais insister pour un suivi serré d'ailleurs . Il y a les troubles du sommeil et du transit   les malaises physiques et j'en passe.. C'est très varié d'une personne à l'autre . Tu découvriras tout ca en te promennant sur les autres topics . Sais-tu comment faire ? Comme ton bébé ne parle pas   il faudra être vigilente si tu penses voir des signes et des symptomes   il faut les signaler et il ne faut pas accepter de se faire dire que ce n'est rien . Il faut exiger un suivi serré pour les hormonnes données à ton bébé et aussi un suivi de la glycémie   des surrénales   de l'anémie .. Esce que tu pourrais nous dire ce qui est testé et soigné chez ton ptit bébé ?,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
02/10/2007,chr40sr,Bonjour  Ce type de problème de la tige pituitaire est souvent en rapport avec une hypothyroïdie.  Donc il est normal que ta fille soit traitée avec des hormones thyroïdiennes.,https://forum.doctissimo.fr/sante/thyroide-problemes-endocrinologiques/interruption-pituitaire-hypophysaire-sujet_156698_1.htm
